Sample_ID,Base_Height_m,Top_Height_m,Latitude,Longitude,Elevation_m,Section,Facies_ID,Facies_Notes,Vertical_Height_m,Lateral_Distance_m,Notes,Checkin_Field,Other
AF-NCF-TS3-16-08,322.2,322.25,N39 31.280,W115 52.153,2151,TS3,Mb/Fc,,NA,NA,"2 pictures, very competent compared to others inslope",7/15/16,
AF-NCF-TS3-16-09,323.4,323.5,N39 31.281,W115 52.154,2152,TS3,Mb/Fc,,NA,NA,"2 pictures, last zoomed. Another very competent bed",7/15/16,
AF-NCF-TS3-16-10,324.9,325,N39 31.283,W115 52.156,2149,TS3,Mb/Fc,,NA,NA,2 pictures,7/15/16,
AF-NCF-TS3-16-11,325.4,325.5,N39 31.283,W115 52.155,2151,TS3,Mb/Fc,,NA,NA,2 pictures,7/15/16,
AF-NCF-TS3-16-12,326.4,326.5,N39 31.284,W115 52.156,2151,TS3,Mb/Fc,,NA,NA,2 pictures,7/15/16,
AF-NCF-TS3-16-13,327.7,327.75,N39 31.282,W115 52.156,2154,TS3,Mb/Fc,,NA,NA,2 pictures,7/15/16,
AF-NCF-TS3-16-14,329.75,330,N39 31.286,W115 52.159,2153,TS3,Mb/Fc,,NA,NA,2 pictures,7/15/16,
AF-NCF-TS3-16-15,330.4,330.5,N39 31.283,W115 52.161,2152,TS3,Mb/Fc,,NA,NA,3 pictures,7/15/16,
AF-NCF-TS3-16-16,331.9,332,N39 31.285,W115 52.162,2152,TS3,Mb/Fc,,NA,NA,3 pictures,7/15/16,
AF-NCF-TS3-16-17,333.4,333.5,N39 31.287,W115 52.163,2154,TS3,Mb/Fc,,NA,NA,2 pictures,7/15/16,
AF-NCF-TS3-16-18,334.15,334.25,N39 31.286,W115 52.165,2155,TS3,Mb/Fc,,NA,NA,3 pictures,7/15/16,
AF-NCF-TS3-16-19,335.9,336,N39 31.288,W115 32.165,2156,TS3,Mb/Fc,,NA,NA,"2 pictures, last uphill",7/15/16,
AF-NCF-TS3-16-20,337.4,337.5,N39 31.288,W115 52.166,2155,TS3,Mb/Fc,,NA,NA,2 pictures,7/15/16,
AF-NCF-TS3-16-21,341.8,342,N39 31.291,W115 52.173,2155,TS3,Mb/Fc,,NA,NA,4 pictures…possible ASH?,7/15/16,
AF-NCF-TS2B-17-01,0,0.1,N39.51389,W115.85641,2257,TS2,Mb/Fc,,NA,NA,,5/25/17,
AF-NCF-TS2B-17-02,15,15.1,N39.51418,W115.85647,2264,TS2,Gc,matrix-supported,NA,NA,,5/25/17,
AF-NCF-TS2B-17-03,17.3,17.4,N39.51420,W115.85647,2265,TS2,Mp,"red, pebble-rich",NA,NA,,5/25/17,
AF-NCF-TS2B-17-04,25,25.1,N39.51460,W115.85612,2287,TS2,Gc,both clast- and matrix-supported,NA,NA,,5/25/17,
AF-NCF-TS2B-17-05,30.4,30.5,N39.51485,W115.85593,2281,TS2,Gc,matrix-supported,NA,NA,,5/26/17,
AF-NCF-TS2B-17-06,31.5,31.6,N39.51491,W115.85586,2282,TS2,Gc,matrix-supported,NA,NA,,5/26/17,
AF-NCF-TS2B-17-07,56.9,57,N39.51552,W115.85584,2309,TS2,Gc,clast-supported,NA,NA,,5/26/17,
AF-NCF-TS2B-17-08,61.5,61.6,N39.51577,W115.85564,2321,TS2,Gc,matrix-supported,NA,NA,,5/28/17,
AF-NCF-TS2B-17-09,73.5,73.6,N39.51604,W115.85582,2326,TS2,Mm,red-yellow,NA,NA,,5/28/17,
AF-NCF-TS2B-17-10,87,87.1,N39.51657,W115.85570,2342,TS2,Gc,matrix-supported,NA,NA,,5/28/17,
AF-NCF-TS2B-17-11a,138,138.1,N39.51736,W115.85631,2371,TS2,Sm,sandstone,NA,NA,"Also took fossilized wood and woody imprint piece (b, c)",5/28/17,
AF-NCF-STS-17-01,NA,NA,N39.48317,W115.85902,2124,STS,Mm,,NA,NA,"In southern TS area (labelked STS), in South Diamond Range  - ""Poss NCF Carb 1"" ",5/27/17,
AF-NCF-STS-17-02 ,NA,NA,N39.48274,W115.85861,2118,STS,Mm,,NA,NA,"In southern TS area (labelked STS), in South Diamond Range - ""Poss NCF Carb 2"" ",5/27/17,
AF-NCF-TS4-17-01,0,0.1,N39.52099,W115.86356,2182,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-02,0.4,0.42,N39.52097,W115.86357,2186,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-03,0.5,0.52,N39.52097,W115.86357,2186,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-04,0.75,0.76,N39.52097,W115.86357,2186,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-05,1.4,1.5,N39.52097,W115.86358,2185,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-06,2.8,2.9,N39.52097,W115.86358,2185,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-07,3.5,3.6,N39.52097,W115.86358,2185,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-08,5.5,5.6,N39.52090,W115.86362,2187,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-09,6,6.1,N39.52090,W115.86362,2187,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-10,6.7,6.8,N39.52090,W115.86362,2188,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-11,6.7,6.8,N39.52090,W115.86362,2188,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-12,7.6,7.7,N39.52090,W115.86360,2188,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-13,8.7,8.8,N39.52090,W115.86360,2188,TS4,Mb/Fc,,NA,NA,,6/1/17,
AF-NCF-TS4-17-14,9,9.1,N39.52087,W115.86366,2191,TS4,Mb/Fc,,NA,NA,,6/2/17,
AF-NCF-TS4-17-15,9.4,9.5,N39.52087,W115.86366,2191,TS4,Mb/Fc,,NA,NA,,6/2/17,
AF-NCF-TS4-17-16,9.7,9.8,N39.52085,W115.86367,2194,TS4,Mb/Fc,,NA,NA,,6/2/17,
AF-NCF-TS4-17-17,10.3,10.4,N39.52085,W115.86367,2194,TS4,Mb/Fc,,NA,NA,,6/2/17,
AF-NCF-TS4-17-18,11.3,11.4,N39.52081,W115.86367,2196,TS4,Mb/Fc,,NA,NA,,6/5/17,
AF-NCF-TS4-17-19,12.1,12.2,N39.52081,W115.86367,2196,TS4,Mb/Fc,,NA,NA,,6/5/17,
AF-NCF-TS4-17-20,13,13.1,N39.52079,W115.86371,2197,TS4,Mb/Fc,,NA,NA,,6/5/17,
AF-NCF-TS4-17-21,14.5,14.6,N39.52072,W115.86372,2197,TS4,Mb/Fc,,NA,NA,,6/5/17,
AF-NCF-TS4-17-22,15,15.1,N39.52074,W115.86372,2197,TS4,Mb/Fc,,NA,NA,,6/5/17,
